CompanyName,Website,Linkedin,Description,Industry,DurationInRole,Status,Notes,Search account,Website,EmplyeeCount,Fullname,schoolname,schoolname2,schoolname3,CompanyName,CompanyName2,CompanyName3,Owner,Created
ESCP Bachelor Finance Society,none.escpbachelorfinancesociety,https://www.linkedin.com/in/ACwAADkQj_8BiZBk8ImFNuwi718UqOjeu1UrPvc/,Escp bachelor finance society for bachelor by bachelor.,Arthur Cluzel,Financial Services,,2,,,,,,,,,,2025-10-22,,
BioBelt,https://biobelt.com/,https://www.linkedin.com/in/ACwAAAXmlz4B5Vikp0AcwfWVhPzNmN2_-WzIhnc/,"Efficiency · Aesthetics · Sustainability
BioBelt is a natural mosquito control solution that combines technological innovation and respect for the environment. Its system is based on a network of trap modules, capable of reproducing human biological signals to attract and capture mosquitoes without the use of chemicals. By placing the modules in a belt around the areas to be protected, this system offers continuous and effective protection, ideal for individuals, hotels, or residences seeking an eco-responsible alternative to chemical treatments.
·
Efficacité · Esthétique · Durabilité
BioBelt est une solution de démoustication naturelle qui allie innovation technologique et respect de l'environnement. 
Son système repose sur un réseau de modules-pièges, capable de reproduire les signaux biologiques humains pour attirer et capturer les moustiques sans recours aux produits chimiques. Grâce à une implantation des modules en ceinture autour des zones à protéger, ce dispositif offre une protection continue et efficace, idéale pour les particuliers, les hôtels ou les résidences souhaitant une alternative écoresponsable aux traitements chimiques.
BioBelt appartient à DIPTERATECH.",Lionel Benbassat,Biotechnology Research,,9,,,,,,,,,,2025-10-22,,
A BLUE WORLD,www.ablue.world,https://www.linkedin.com/in/ACwAAAB_ZhQB8FvNzC1rYJd57yf88vETQ9KYld8/,"A
Blue
World

From the Ocean, for the Earth

Natural, Clean, Functional Performance-driven outputs with Impact.

A Blue World is a regenerative blue biotechnology and bioscience open value chain that delivers at-scale proprietary solutions in fibers, cosmetic, and the nutraceutical sectors connecting upstream blue economy outputs via its IP to downstream brands, products, consumers, driven to significantly reduce the use of petrochemical components to deliver consumer products that are both better for your wellbeing and decrease carbon footprint.

From Icelandic origins to a global ecosystem, A Blue World's platform is where open innovation meets venture studio; a global network of blue biotechnology and bioscience investments and partnerships consolidating a growing but fragmented nascent sector toward industrial at-scale solutions.",Baptiste A.,Biotechnology Research,,6,,,,,,,,,,2025-10-22,,
Oria Bioscience,none.oriabioscience,https://www.linkedin.com/in/ACwAADLsB4wB2MFr17vHdcQYVPppatx2lPY4Z8Q/,"Oria Bioscience is a pioneering French TechBio company expert in generating organelles. 
 
We deliver high-quality, intact living organelles, surrounded by their therapeutic membrane targets. For the first time, organelles are being distributed globally and are fully compatible with high-throughput screening campaigns and drug development efforts.
 
Thanks to our microfluidics technology, we supply pharmaceutical laboratories and CROs with purified organelles (lysosomes, mitochondria, and endoplasmic reticulum). Working directly with organelles improves efficacy results, reduces attrition rates in clinical phases, accelerates Hit-to-Lead and Lead Optimization phases, and minimizes your carbon footprint by reducing resources used. 
 
Oria’s team brings together over 50 years of expertise in organelles and microfluidics, dedicated to delivering organelles worldwide to meet drug discovery needs.
 
We are making organelles as accessible as cells, driving innovation across all health sectors.",Hugo Carrat,Biotechnology Research,,14,,,,,,,,,,2025-10-22,,
Onco3R Therapeutics,onco3R.com,https://www.linkedin.com/in/ACwAAAH5qtEBwP4mwgA4FdEhnCG72MSdVi-mX9k/,"At Onco3R Therapeutics, we are driven by our purpose to transform the lives of patients with cancer and immune diseases through precision-designed, best-in-class therapies. With over 150 years of combined R&D experience, our team brings deep expertise in disease biology, drug discovery, and translational science. We focus on clinically validated targets and select the right therapeutic modality, small or large molecules, to match the underlying biology. Our mission is to develop safer, more effective medicines in oncology and immunology that truly make a difference for patients. By learning from past clinical challenges and applying cutting-edge technologies, we aim to de-risk early-stage development and accelerate the delivery of innovative treatments with real-world impact.",Sandrine Vendeville,Biotechnology Research,,17,,,,,,,,,,2025-10-22,,
CYTOO,http://www.cytoo.com,https://www.linkedin.com/in/ACwAAAV6VksBhg9eG4I19R_klBVCw87Wi8xtiTE/,"CYTOO is a preclinical stage drug discovery company specialized in muscular and neuromuscular disorders. CYTOO partners its versatile patient-derived muscle drug discovery engine to pharma and biotech companies and develops its own drug candidates.
CYOO has developed a fully mature human in vitro muscle model (MyoScreen) derived from primary human samples (healthy and pathological myoblasts) for generating NCEs from a variety of pathological conditions (rare, chronic). Core expertise lies on in vitro muscle regeneration, contraction, hypertrophy, and metabolism.",Bruno Brisson,Biotechnology Research,,35,,,,,,,,,,2025-10-22,,
Stealth Mode Biotech,,https://www.linkedin.com/in/ACwAAA1O8-gBdNj9METxe4aH9Uu6JNgT6Dn9lbw/,,"Félix Raimundo, PhD",Biotechnology Research,,,,,,,,,,,,2025-10-22,,
Cellura,http://www.cellura.io,https://www.linkedin.com/in/ACwAAAAhL7UBNtHp0NOhaaS-5ONsZ3g8YH5NBDk/,"our disruptive bioreactors will allow you to cultivate the most demanding cells (induced pluripotent stem cells, stem cells, lymphocytes, etc.) from small (L) to large scale (m3). The patented principle allows the cultivation of cells in 3D without using any suspension tool (propellers, blades, turbine, etc.). In brief, with our bioreactors, you have access to an easy bioproduction process at high yield of production, scalable up to industrial scale without changing anything in the process ...",Benjamin Saulnier,Biotechnology Research,,4,,,,,,,,,,2025-10-22,,
CEMS Club Belgium,http://www.cemsclub.be/,https://www.linkedin.com/in/ACwAADM-ZXcB5-Gn2r_rF13PqICj_7HumEKdKVA/,"CEMS Club Belgium is a student-led organization representing and supporting CEMS students from or coming to the Louvain School of Management. The purpose of the Club is to allow students to take the most out of their CEMS experience in Louvain-la-Neuve.

This is done through the help of the Club’s board and the different teams : social, corporate, alumni, csr and media.

We act internally to improve the experience of each CEMSie at Louvain-la-Neuve by organizing activities and externally by reaching out to CEMS alumnus and corporate partners in order to insert the students in the CEMS network.",Carla Quadflieg,Education Administration Programs,,6,,,,,,,,,,2025-10-22,,
City of Stoke-on-Trent Sixth Form College,http://www.stokesfc.ac.uk/,https://www.linkedin.com/in/ACwAADknS_IBWmklPQ2ahDrlFgaQ1vXot_XK5JY/,"The City of Stoke on Trent Sixth Form College is a medium size, approximately 1,700 full-time students aged 16-19, attracted from a wide area of North Staffordshire, including all areas of the City itself. Established in 1970, the college was the first purpose built Sixth Form College in the country. In the summer of 2010, the college re-located to the University Quarter area of the City, at the heart of the regeneration area to a prestigious site clearly visible to all who enter the city by road or rail.

The College’s mission is:

A young persons’ college developing skills and inspiring excellence

Where all students are encouraged to achieve their full personal and academic potential.  The College provides effective support to boost the development, confidence and social skills of individual students.

The College is the only Sixth Form College in Staffordshire. There is no such thing as a typical SFC, each has its own needs and culture. Unlike school sixth forms, they have the capacity to teach a wide variety of both academic qualifications such as GCSEs and A’Levels (the latter of which SFCs get better results in than schools), along with vocational courses.  The combination options surpass many GFEs and schools sixth forms, with students having the opportunity for instance, to study an A’Level in Computing alongside a BTEC national diploma in Law.",Maï Thanh ROZIER,Education Administration Programs,,117,,,,,,,,,,2025-10-22,,
ANGLOFUN SCHOOLS,none.anglofunschools,https://www.linkedin.com/in/ACwAAD66Gg8BUfuI556QTMWkl_ZksH2JjXV3gR8/,"ANGLOFUN SCHOOLS is an education management company based out of 24 T RUE THEODORE HONORE, NOGENT SUR MARNE, France.",Cassidy Mattingly,Education Administration Programs,,10,,,,,,,,,,2025-10-22,,
Atypick,none.atypick,https://www.linkedin.com/in/ACwAABeyjc8B-qyEeFS2rZgAa_M1TLk2a1vSCG8/,"Articles compacts, pratiques ou atypiques pour simplifier, faciliter et optimiser les déplacements du quotidien comme les voyages, avec des collaborations européennes et une attention portée à la qualité, l’utilité et la durabilité.",Gaelig Magos,Retail,,2,,,,,,,,,,2025-10-22,,
Azur Sono,none.azursono,https://www.linkedin.com/in/ACwAABc0vioBEMQ2283LEqA-EA2nIuWhVeH6HRI/,"AZUR SONO distribue, loue et installe du matériel spécialisé pour l'événementiel. Distributeur officiel des marques Pionneer et LD.",Nicolas B.,Retail,,2,,,,,,,,,,2025-10-22,,
Neo Family,http://www.neofamily.eu,https://www.linkedin.com/in/ACwAADs7HEwBo7jNm8ikUGy5Pc0J95kSgHGg3A8/,"Neo Family is an intergenerational concept store, both physical and virtual. The founder Stéphane Poncelet, conceptualized this exclusive project, bringing his contemporary vision of children's fashion to life.",Wenjun Cao,Retail,,4,,,,,,,,,,2025-10-22,,
Copain Cochon,none.copaincochon,https://www.linkedin.com/in/ACwAAAldtEMBxFZTUuqengMfHcXSlL19yPQ4_ro/,"Copain Cochon, c'est une expérience culinaire exceptionnelle et conviviale, qui réunit plus de 250 convives autour d'un grand banquet. Chaque saison de l'année (hiver, printemps, été, automne),  nous organisons un banquet authentique, mettant à l'honneur les saveurs de saison dans des lieux hors du commun.",Martin Kaufmann,Events Services,,3,,,,,,,,,,2025-10-22,,
GOOD TO SEE YOU,none.goodtoseeyou,https://www.linkedin.com/in/ACwAACXf17QB-Ez-YTOOU36qGHLH1NkHSQp9UY4/,"Se rassembler, c’est déjà créer.
GOOD TO SEE YOU est une agence événementielle créative et engagée, née de l’envie de concevoir des moments qui font lien, qui marquent, qui rassemblent durablement.

Depuis plusieurs années, nous imaginons des expériences sur mesure pour les particulier comme pour les entreprises en quête de sens et de cohésion.

Côté vélo, nous organisons :
• Le Salon Vélo PRODAYS, plus grand rendez-vous professionnel du cycle en France
• Le Festival Vélo in Paris, dédié à la culture vélo sous toutes ses formes
(la société Département Beauté s'est transformé en GOOD TO SEE YOU)

Côté entreprises, nous créons :
• Des lancements de produits inspirants
• Des team buildings fédérateurs
• Des séminaires et conventions à votre image

GOOD TO SEE YOU, c’est une équipe de créateurs, de logisticiens, de rêveurs et d’organisateurs, réunis par l’envie de produire des événements qui ont du sens, de l’émotion et un impact.

It’s good to see you – et encore meilleur de vous réunir.",Aurore Briscadieu,Events Services,,3,,,,,,,,,,2025-10-22,,
Club IMHI,none.clubimhi,https://www.linkedin.com/in/ACwAACotnJEBzK2Fviv56Z7r99gTS18ZCELWyqM/,"Club IMHI, founded by two dedicated students, is the association that brings school and the professional world closer together.",Rizni ROZAIR,Events Services,,3,,,,,,,,,,2025-10-22,,
Les Ailes de Colette,none.lesailesdecolette,https://www.linkedin.com/in/ACwAAArSgFsB33nr6WfhFwenaN_ZwlbVlEtQa-k/,Exclusive Funeral Events,Nicolas T.,Events Services,,2,,,,,,,,,,2025-10-22,,
Archy,none.archy,https://www.linkedin.com/in/ACwAAAs88xgBdjZIReBURKf2FZFq_mjv-NUqxdc/,"Archy, c’est le coup de pouce aux organisateurs d’événements qui veulent enfin s’attaquer au sujet du déplacement des participants. 
Nous facilitons la mobilité partagée comme le covoiturage ou le train, simplifions toute la logistique et améliorons l’expérience dès le trajet. 
Moins d’empreinte carbone, moins de galères logistiques, et une expérience participant qui démarre dès le départ !",Aurélie Morel,Events Services,,2,,,,,,,,,,2025-10-22,,
LiMK,none.limk,https://www.linkedin.com/in/ACwAAB8wrbcBCMEb7Q7LSOAUbKlDQLY0DTdW2x4/,"Parce que trop d’événements restent invisibles, et trop de gens passent à côté d’expériences uniques. LiMK simplifie la découverte des événements gratuits, pour permettre à chacun, habitants comme touristes, de profiter pleinement de la vie locale et de créer du lien.",Nicolas Morby 🙋🏽,Events Services,,4,,,,,,,,,,2025-10-22,,
Imersia,,https://www.linkedin.com/in/ACwAACp4RMABsvI7QX88Iahwc9srAV73O3_GVo8/,,Enzo Bourgeois,Events Services,,,,,,,,,,,,2025-10-22,,
OBO,https://oboglobal.com,https://www.linkedin.com/in/ACwAAELoA0oBv-ndsONCKclH_XtuEoVyp-0f94g/,"Founded in 2000, OBO is a creative studio and production agency based in Paris and London, known for crafting brand-defining moments in fashion, luxury, culture, and entertainment. From large-scale fashion shows to immersive events, we design and produce transformational experiences across all media — leading projects from strategy and concept through to execution and global amplification.

With more than 2,500 shows and campaigns delivered in over 20 countries, our work blends creative ambition with operational excellence. We collaborate with the world’s most iconic brands, ensuring international consistency while remaining deeply attuned to local relevance.

In 2025, OBO joined the global, tech-enabled Together Group. This strategic move strengthens our ability to scale and innovate while staying true to our founding belief: that everything we do is done on behalf of our clients. Now as part of a global family, we continue to push the boundaries of experiential design, with even greater reach, creativity, and impact.",Sacha Richelme,Events Services,,157,,,,,,,,,,2025-10-22,,
ARC_PARIS,,https://www.linkedin.com/in/ACwAAC4Dj28BS2mIX6_QvNYbFy-On2eeEnZMfNQ/,,Margaux Bonneau,Events Services,,,,,,,,,,,,2025-10-22,,
ELIOS EVENTS,none.eliosevents,https://www.linkedin.com/in/ACwAAE4b0uABHAn9a5JBc5HTk1enUzObwBpmWSY/,,Elias Gazay,Events Services,,0,,,,,,,,,,2025-10-22,,
Beink Dream,http://www.beink.fr,https://www.linkedin.com/in/ACwAAAFjF5QBOPZNSr0nXHax37UsA5sEDcSBPEM/,"Today, ideation phase is still the bottleneck in every product lifecycle. Endless meetings, back-and-forth approvals, and never-ending revisions.

Now, what if you could get rid of all that friction and move from idea to decision, in just a day?

That’s where Beink Dream comes in.

We’ve built a visual collaboration SaaS platform that transforms early-stage ideas and concepts into high-impact designs — in real-time. Starting from simple drafts or collages, our plateform delivers : 

- 10 times faster ideation,
- Significant cost savings,
- 100% confidence before prototyping.

No more waiting weeks for feedback, no more endless revisions. Just iteration, collaboration and visualization in real-time !",Cécile DOAN,Internet Publishing,,11,,,,,,,,,,2025-10-22,,
Recove,https://www.shoprecove.com,https://www.linkedin.com/in/ACwAAD3zFGABG-v5GoAqOw8hX-wOzsLTzQbcvXI/,"Imaginez pouvoir donner vie à vos moodboards Pinterest en quelques clics ! Avec Recove, connectez votre compte Pinterest à Vinted et découvrez une sélection personnalisée de pièces de seconde main inspirées de vos inspirations mode ✨",Paul Tardieu,Retail Apparel and Fashion,,3,,,,,,,,,,2025-10-22,,
AOSOMY,none.aosomy,https://www.linkedin.com/in/ACwAAAKD3uYBKCANfFvKQ7ZW57sr0rn6W5SD4ws/,"Chez AOSOMY, nous croyons qu’une chemise ne devrait pas être un simple vêtement, mais une pièce intemporelle, porteuse de sens.

Notre mission
Transformer la manière dont les femmes et les hommes perçoivent et consomment la mode en proposant une alternative élégante, responsable et durable à la fast fashion.

Le sur-mesure (Made-to-Measure)
Chaque chemise AOSOMY est confectionnée uniquement après commande, selon vos mesures exactes et vos préférences personnelles.
Pas de surproduction, pas de gaspillage textile : uniquement des pièces qui vous ressemblent, pensées pour durer.

Nos valeurs
Slow fashion : une mode réfléchie, qui privilégie la durabilité à la quantité.

Éthique & transparence : un engagement clair, de la conception à la production.

Qualité & personnalisation : des tissus sélectionnés pour leur tenue et leur élégance, adaptés à vos envies.

Artisanat valorisé : nos tailleurs vietnamiens sont rémunérés équitablement et reconnus pour leur savoir-faire exceptionnel.

L’artisanat vietnamien, l’élégance française
Dans nos ateliers au Vietnam, chaque pièce est réalisée avec minutie et passion. Cette approche artisanale allie savoir-faire traditionnel oriental et élégance occidentale.

Pourquoi choisir AOSOMY ?
Parce que choisir une chemise AOSOMY, c’est choisir :
- Une élégance intemporelle qui transcende les tendances.
- Un vêtement pensé pour vous, et uniquement pour vous.
- Une consommation consciente, respectueuse des artisans et de la planète.

Ensemble, redéfinissons la mode : plus responsable, plus humaine, plus élégante.

AOSOMY — Le sur-mesure, sans compromis.",Laurent DUBOIS,Retail Apparel and Fashion,,2,,,,,,,,,,2025-10-22,,
Studio Terre Blanche,http://www.studioterreblanche.com,https://www.linkedin.com/in/ACwAAEl7w5wBkPCfd8RR_2CF_8ScRccl_PiBCXY/,"Terre Blanche est un studio parisien de robes de mariées vintage. 

Terre Blanche redonne vie à des robes de mariées oubliées et vous emmène dans son univers solaire et raffiné pour vous faire voyager au temps des années folles jusqu’aux 90s. 

Parce que chaque mariée est unique, Terre Blanche a la conviction que chacune peut trouver une robe à son image. ",Ludivine CHALLIER,Retail Apparel and Fashion,,3,,,,,,,,,,2025-10-22,,
DU HAMEL,none.duhamel,https://www.linkedin.com/in/ACwAAA4u5t4BZMhRFYrZoUqkB5xJWqLbKyx5lro/,"DU HAMEL operates across two complementary fields of expertise: bespoke tailoring for individuals, and the creation of refined uniforms for companies, institutions, and prestigious establishments.

Founded by a former investment banker, the house draws on a culture of precision, discipline, and sartorial excellence. Each project is guided by a rigorous attention to detail and a deep understanding of how style can serve both identity and purpose.

On one side, DU HAMEL supports individuals - from graduates to entrepreneurs and executives - in curating wardrobes that enhance posture, convey confidence, and strengthen credibility within their industry.

On the other, DU HAMEL crafts tailored uniforms as strategic tools for visual harmony, brand distinction, and elevated service. Each silhouette is designed to reflect the unique spirit of its environment, from hospitality and cultural institutions to education and ceremonial services.

Through these dual pillars, DU HAMEL offers more than garments: it delivers a language of elegance and a signature of excellence for those who seek to embody purpose through appearance.",Benoit D.,Retail Apparel and Fashion,,0,,,,,,,,,,2025-10-22,,
maison andi,www.maisonandi.com,https://www.linkedin.com/in/ACwAACEdx8UBB2ND8ZHhg3xFtLgxXglkFv9F-PQ/,,Andres Cobos,Retail Apparel and Fashion,,1,,,,,,,,,,2025-10-22,,
Positive Aviation,http://www.positive-aviation.com,https://www.linkedin.com/in/ACwAAAJeWJkBA_4sRnoIlVD6tYF00rJcAtcOVGI/,"At Positive Aviation we believe that aviation is a force for good in our society. Positive Aviation is an engineering and industrial company, which is developing modifications on second hand ATR 72 to transform them into amphibious firefighter aircraft. We call it the FF72, it will offer a sovereign solution to succeed the famous Canadairs which prove year after year how vital they are to protect our environment.

We are hiring in design office and program organisation : visit http://www.positive-aviation.com/career",Simon Poulenc,Aviation and Aerospace Component Manufacturing,,,,,,,,,,,,2025-10-22,,
Orus Energy,none.orusenergy,https://www.linkedin.com/in/ACwAAD2V9KwBKQ5TUP8HuhDJedy3_aaVGzXubJ0/,"The flexibility of the electricity grid is what will make or break the energy transition to a decarbonized and renewable electricity mix.
‍
We are leveraging the power of AI to unlock a tremendous potential of electrical flexibility in your commercial buildings.",Lou Torineau,"Technology, Information and Internet",,23,,,,,,,,,,2025-10-15,,
Bumbo Labs,none.bumbolabs,https://www.linkedin.com/in/ACwAAEEF6XABJSNs9droDuZob4CCt3uyR06Hnhw/,"We build intelligent and sustainable products for businesses and consumers. Our goal is to re-engineer AI-powered business operations and workflows with fast, efficient, and green solutions.
Curious about what we’re building next? Reach out :)
We love sharing ideas (and good coffee)!",Emeric PAYER,"Technology, Information and Internet",,3,,,,,,,,,,2025-10-17,,
Kazaki,none.kazaki,https://www.linkedin.com/in/ACwAADR48sMBGUZG-Vo34GQo7j4Njupy9mDqN3s/,"Kazaki est un portail immobilier intelligent : 

-Estimer automatiquement un bien selon les données macro-économiques et la computer vision.
-Projeter la plus-value potentielle selon la tension locative, les taux, et les projets urbains.
-Comprendre vos besoins pour recommander les biens les plus cohérents avec votre stratégie.
-Fournir des conseils financiers et fiscaux personnalisés.
-Évaluer les risques liés à chaque opération.

Nous voulons travailler main dans la main avec les agences pour augmenter leurs taux de closing,
sans jamais remplacer l’accompagnement humain que les particuliers méritent.

La première version du produit sortira début 2026.
Mais vous pouvez dès à présent vous inscrire sur la waitlist.
À très vite !

",Léo Boyé,"Technology, Information and Internet",,0,,,,,,,,,,2025-10-20,,
Binance,https://www.binance.com/,https://www.linkedin.com/in/ACwAAEF0-YoBWBW_AYlmzGit2qt3LNp-_z7jOfM/,"Binance is the world’s leading blockchain ecosystem and cryptocurrency infrastructure provider with a product suite that includes the world's largest digital asset exchange and much more.

Trusted by over 200 millions of users worldwide, the Binance platform is dedicated to increasing the freedom of money for users, and features an unmatched portfolio of crypto products and offerings, including: trading and finance, education, data and research, social good, investment and incubation, decentralization and infrastructure solutions, and more.

Posts are not directed towards UK users.",Jolan Epaillard,"Technology, Information and Internet",,0,,,,,,,,,,2025-10-22,,
Opuscule,none.opuscule,https://www.linkedin.com/in/ACwAAE-KIhQBWT6cwUXpZpzH4dFIAOHP4JI-zrc/,,Mihary Barreca,"Technology, Information and Internet",,2,,,,,,,,,,2025-10-22,,
Minah,none.minah,https://www.linkedin.com/in/ACwAAAusX5cBB7MPqnW88M2CUfo0sW7SgwFBrsU/,"Minah démocratise l’accès aux opportunités de financement en Afrique de l'Ouest. 

Convaincus du potentiel du continent, nous levons les barrières à l’entrée du marché africain en connectant investisseurs du monde entier et projets locaux à fort potentiel pour le développement.

💡 Simple, transparent, accessible
Nous facilitons l’investissement dans des projets sélectionnés avec rigueur, en assurant un suivi clair et une gestion simplifiée.

📈 Diversification et rentabilité
Minah permet d’élargir son portefeuille en soutenant des initiatives à forte croissance, tout en contribuant au développement économique local.

🌱 Engagement RSE & impact social
Chaque projet financé répond à des critères de soutenabilité pour un impact positif et responsable sur les communautés.",Julien Gakpe,"Technology, Information and Internet",,2,,,,,,,,,,2025-10-22,,
Xyka AI,,https://www.linkedin.com/in/ACwAADgwB-8B5FqXd4hVdvf7qe7VqqI8ZRPtq3w/,,Laid Guendouza,"Technology, Information and Internet",,,,,,,,,,,,2025-10-22,,
Alpic,none.alpic,https://www.linkedin.com/in/ACwAAASYhtwBys8DV6Ngp5rIeWEFt7B5OFZcGX0/,"Alpic provides the infrastructure and tools to turn your product into an AI-native experience. Our all-in-one MCP hosting platform offers easy one-click deployment, as well as MCP-specific evaluation, analytics, authentication, transport and security.",Frédéric Barthelet,"Technology, Information and Internet",,6,,,,,,,,,,2025-10-22,,
"AlsoCheck, Inc.",,https://www.linkedin.com/in/ACwAABLh73wBrYZgvEJceA6kcSUvc0xx6WTc0Lo/,,Jean-Paul S.,"Technology, Information and Internet",,,,,,,,,,,,2025-10-22,,
BlackPortals,www.blackportals.com,https://www.linkedin.com/in/ACwAADljZ-sBSs8kCN7soB0_ubXd1yErAh75yEU/,"BlackPortals is a tech holding company focused on building and acquiring next-gen applications in Web3, crypto, AI, and digital infrastructure.
We create and manage digital portals — powerful tools, apps, and ecosystems that empower people to access the future of finance, communication, and creativity.
Our ecosystem spans across blockchain-based platforms, experimental applications, and decentralized technologies.",Daniel Teurtrie,"Technology, Information and Internet",,3,,,,,,,,,,2025-10-22,,
Lemrock,https://lemrock.com/,https://www.linkedin.com/in/ACwAACksVNUB7hKJ66n1_EK6qsl8hH2Dx0KKUdM/,"The web is shifting.
If you’ve missed the conversational wave, you’re not just late — you’re invisible.

We’re shaping the future of media through agentic technology.",Clément Nguyen,"Technology, Information and Internet",,3,,,,,,,,,,2025-10-22,,
Storyzy,https://storyzy.com/,https://www.linkedin.com/in/ACwAAFLB354BK_DIx5Z4LwlcmS15tUYUzlh4pfg/,"Storyzy's platform empowers investigators to detect information manipulation and retrieve intelligence from open sources. This platform is specially designed for intelligence and communication units. Storyzy classifies and assesses online sources (sites, blogs, video channels, social media) thanks to its cutting edge Artificial Intelligence and human expertise.

Storyzy works with international military organizations, with public entities and with private companies.

Storyzy is an independent and privately held company.
 
Please contact us for more information: contact@storyzy.com",Lucas Jung,"Technology, Information and Internet",,40,,,,,,,,,,2025-10-22,,
nricher,https://www.nricher.io/,https://www.linkedin.com/in/ACwAAEVGcbIBtYT0zZyK8ij__EvhXnbVPnrwKVM/,"nricher is a SaaS software which, thanks to AI, stands out for its ability to help e-tailers perfectly understand their customers' needs and position themselves better than their competitors. We analyze our customers' catalogs and those of their competitors in real time, enabling : 

- Target range expansion based on sales trends (+20% sales) 
- Directing the SEA budget towards competitive items, with improved ROAS (+45%).  

These results have been observed with our customers like Conforama, Vente Unique, Columbia...",Mathéo Salvat,"Technology, Information and Internet",,17,,,,,,,,,,2025-10-22,,
Hubway.ai,https://hubway.ai/,https://www.linkedin.com/in/ACwAABATkQIBiG3RcxGFOVKPJPpfTzRuyWzb_IY/,"We're developing a conversational agent based on AI that allows busy places (airports, train stations, malls, shared offices) to better manage visitors' experience on premise.",Samuel Chekroun,"Technology, Information and Internet",,2,,,,,,,,,,2025-10-22,,
Hubway,,https://www.linkedin.com/in/ACwAAB0JfyoBMpiqFd5nT7aAqxzAOqQt_z4vx7s/,,Jean-Gabriel Decaux,"Technology, Information and Internet",,,,,,,,,,,,2025-10-22,,
Freat.io,none.freat.io,https://www.linkedin.com/in/ACwAAAQGpv4BhiLHMXGLswkk4UjxKxfghla71Ik/,"Freat.io est une solution SaaS innovante conçue pour simplifier la vie des propriétaires bailleurs. Que vous gériez un studio, un immeuble complet ou un portefeuille diversifié, notre plateforme vous permet de centraliser toutes vos tâches locatives en un seul endroit.

👉 Optimisez votre temps : suivez vos loyers, gérez vos documents, et automatisez les relances en quelques clics.
👉 Soyez serein : accédez à des outils pratiques pour mieux gérer vos obligations légales et fiscales.
👉 Boostez vos revenus : bénéficiez de services premium à la demande, payables en crédits flexibles et économiques.

Avec Freat.io, devenez un bailleur connecté, organisé et performant, tout en restant maître de vos décisions. Rejoignez la révolution locative dès aujourd’hui !",David WANG,"Technology, Information and Internet",,2,,,,,,,,,,2025-10-22,,
Jinko,https://www.jinko.so/,https://www.linkedin.com/in/ACwAAAsEI2EBNzavdgYhcD17TsOgBcAMI9uKV7s/,"We are building an agentic distribution platform for Hotel Chains, Airlines and Railway companies. Our mission is to help travel suppliers unlock AI agents as a new distribution channel and grow their direct bookings.",Shuai Z.,"Technology, Information and Internet",,2,,,,,,,,,,2025-10-22,,
Uncap Labs,,https://www.linkedin.com/in/ACwAABhXhiEB9TnmpC3-eo5v0vTI7F3pkf6-G8w/,,Maxime Servais,"Technology, Information and Internet",,,,,,,,,,,,2025-10-22,,
DADI TECH,none.daditech,https://www.linkedin.com/in/ACwAADNjR08BZ_8QbqysSjiCDmv5tM6esmFsWqc/,"Dadi Tech est une entreprise sociale et solidaire qui conçoit des solutions numériques responsables, accessibles et co-construites pour les associations, les collectivités territoriales et les institutions publiques.

Nous faisons du numérique un levier d’impact social et environnemental, et non une simple solution technique.

🌍 Écoconception · 🤝 Inclusion numérique · 🛠️ Accompagnement sur-mesure",FATOU MBACKE DIALLO,"Technology, Information and Internet",,2,,,,,,,,,,2025-10-22,,
novIA,none.novia,https://www.linkedin.com/in/ACwAADpNihoBRpoKkumWqUGtTOvnvCR35pFf7H4/,"Trois étudiants issus de grandes écoles – les Ponts et Chaussées, l’ENSAE et GEM– ont uni leurs compétences pour poursuivre une ambition claire : réinventer les entreprises à travers l’intelligence artificielle.

Une étude de KPMG a récemment mis en évidence un écart frappant : alors que 77 % des dirigeants considèrent l'IA générative comme une technologie clé pour transformer leur entreprise, seulement 9 % l'ont adoptée. Les premiers à saisir cette opportunité seront ceux qui en tireront les plus grands bénéfices.

Nous vous aidons à devenir ces pionniers grâce à un diagnostic IA sur mesure, conçu pour déceler les leviers d'optimisation et maximiser les gains en performance.

Notre savoir-faire s'étend à la mise en œuvre de solutions IA adaptées à vos besoins, pour améliorer l'efficacité et augmenter la productivité de votre organisation.

Nous travaillons avec : le Mokca, le Château de la Commanderie, Europole, l’Hôtel d’Angleterre, et bien d'autres.

Prenez rendez-vous en me contactant directement en message privée ! ",Maxime JACTAT,"Technology, Information and Internet",,2,,,,,,,,,,2025-10-22,,
Take Your Skills,none.takeyourskills,https://www.linkedin.com/in/ACwAAArIFzABS-QneixXyJJSAMEBgvq9Wm7St_c/,,Pierre-Olivier Fleckenstein,"Technology, Information and Internet",,2,,,,,,,,,,2025-10-22,,
